transaction_id,transaction_status,payment_currency,card_country_code,Transaction_detail
510,success,NGN,NG,"Naira transactions with Naira card"
511,abandoned,NGN,NULL,NULL
512,success,NGN,NG,"Naira transactions with Naira card"
513,abandoned,NGN,NULL,NULL
514,failed,NGN,NG,"Naira transactions with Naira card"
515,abandoned,NGN,NULL,NULL
516,abandoned,NGN,NULL,NULL
517,success,NGN,NG,"Naira transactions with Naira card"
518,success,NGN,NG,"Naira transactions with Naira card"
519,success,NGN,NG,"Naira transactions with Naira card"
520,success,NGN,NG,"Naira transactions with Naira card"
521,abandoned,NGN,NG,"Naira transactions with Naira card"
522,failed,USD,US,"Dollar transactions with foreign card"
523,success,NGN,NG,"Naira transactions with Naira card"
524,abandoned,NGN,NULL,NULL
525,success,NGN,NG,"Naira transactions with Naira card"
526,success,NGN,NG,"Naira transactions with Naira card"
527,success,NGN,NG,"Naira transactions with Naira card"
528,abandoned,NGN,NULL,NULL
529,success,NGN,NG,"Naira transactions with Naira card"
530,abandoned,NGN,NULL,NULL
531,abandoned,NGN,NULL,NULL
532,abandoned,NGN,NG,"Naira transactions with Naira card"
533,success,NGN,NG,"Naira transactions with Naira card"
534,failed,USD,US,"Dollar transactions with foreign card"
535,failed,NGN,NG,"Naira transactions with Naira card"
536,success,USD,GB,"Dollar transactions with foreign card"
537,abandoned,NGN,NULL,NULL
538,failed,USD,US,"Dollar transactions with foreign card"
539,success,NGN,NG,"Naira transactions with Naira card"
540,success,NGN,NG,"Naira transactions with Naira card"
541,abandoned,NGN,NULL,NULL
542,abandoned,NGN,NULL,NULL
543,success,NGN,NG,"Naira transactions with Naira card"
544,success,NGN,NG,"Naira transactions with Naira card"
545,abandoned,NGN,NULL,NULL
546,reversed,NGN,NG,"Naira transactions with Naira card"
547,abandoned,NGN,NULL,NULL
548,success,NGN,NG,"Naira transactions with Naira card"
549,abandoned,NGN,NULL,NULL
550,abandoned,NGN,NULL,NULL
551,abandoned,USD,US,"Dollar transactions with foreign card"
552,success,NGN,NG,"Naira transactions with Naira card"
553,failed,NGN,NULL,NULL
554,success,NGN,NG,"Naira transactions with Naira card"
555,abandoned,NGN,NULL,NULL
556,success,NGN,NG,"Naira transactions with Naira card"
557,abandoned,NGN,NULL,NULL
558,abandoned,NGN,NULL,NULL
559,success,USD,US,"Dollar transactions with foreign card"
560,abandoned,NGN,NULL,NULL
561,success,NGN,NG,"Naira transactions with Naira card"
562,abandoned,NGN,NULL,NULL
563,failed,USD,US,"Dollar transactions with foreign card"
564,abandoned,USD,NULL,NULL
565,abandoned,NGN,NULL,NULL
566,failed,NGN,NG,"Naira transactions with Naira card"
567,abandoned,NGN,NULL,NULL
568,success,NGN,NG,"Naira transactions with Naira card"
569,failed,NGN,GB,"Naira transactions with foreign card"
570,abandoned,USD,NULL,NULL
571,success,NGN,NG,"Naira transactions with Naira card"
572,abandoned,NGN,NULL,NULL
573,abandoned,USD,NULL,NULL
574,abandoned,NGN,NULL,NULL
575,success,USD,US,"Dollar transactions with foreign card"
576,abandoned,USD,NULL,NULL
577,abandoned,USD,FR,"Dollar transactions with foreign card"
578,failed,NGN,NG,"Naira transactions with Naira card"
579,success,NGN,GB,"Naira transactions with foreign card"
580,abandoned,USD,NULL,NULL
581,failed,NGN,NG,"Naira transactions with Naira card"
582,abandoned,NGN,NULL,NULL
583,success,NGN,NG,"Naira transactions with Naira card"
584,success,NGN,NG,"Naira transactions with Naira card"
585,abandoned,USD,NULL,NULL
586,abandoned,NGN,NULL,NULL
587,abandoned,NGN,NULL,NULL
588,success,NGN,NG,"Naira transactions with Naira card"
589,success,NGN,NG,"Naira transactions with Naira card"
590,success,NGN,NG,"Naira transactions with Naira card"
591,failed,NGN,NG,"Naira transactions with Naira card"
592,abandoned,NGN,NULL,NULL
593,success,NGN,NG,"Naira transactions with Naira card"
594,abandoned,NGN,NG,"Naira transactions with Naira card"
595,abandoned,NGN,NULL,NULL
596,success,NGN,NG,"Naira transactions with Naira card"
597,abandoned,NGN,NULL,NULL
598,success,NGN,NG,"Naira transactions with Naira card"
599,success,NGN,NG,"Naira transactions with Naira card"
600,abandoned,NGN,NULL,NULL
601,abandoned,NGN,NULL,NULL
602,success,NGN,NG,"Naira transactions with Naira card"
603,abandoned,NGN,NULL,NULL
604,abandoned,NGN,NULL,NULL
605,success,NGN,NG,"Naira transactions with Naira card"
606,abandoned,NGN,NULL,NULL
607,failed,NGN,NG,"Naira transactions with Naira card"
608,success,NGN,NG,"Naira transactions with Naira card"
609,failed,USD,US,"Dollar transactions with foreign card"
610,success,NGN,NG,"Naira transactions with Naira card"
611,success,NGN,NG,"Naira transactions with Naira card"
612,abandoned,NGN,NG,"Naira transactions with Naira card"
613,abandoned,NGN,NULL,NULL
614,failed,NGN,NG,"Naira transactions with Naira card"
615,success,NGN,NG,"Naira transactions with Naira card"
616,success,NGN,NG,"Naira transactions with Naira card"
617,success,NGN,NG,"Naira transactions with Naira card"
618,abandoned,NGN,NULL,NULL
619,success,NGN,NG,"Naira transactions with Naira card"
620,abandoned,NGN,NULL,NULL
621,abandoned,NGN,NULL,NULL
622,abandoned,USD,GB,"Dollar transactions with foreign card"
623,abandoned,NGN,NULL,NULL
624,abandoned,NGN,NULL,NULL
625,success,NGN,NG,"Naira transactions with Naira card"
626,success,NGN,NG,"Naira transactions with Naira card"
627,abandoned,NGN,NULL,NULL
628,abandoned,USD,US,"Dollar transactions with foreign card"
629,failed,NGN,GB,"Naira transactions with foreign card"
630,abandoned,NGN,NULL,NULL
631,abandoned,NGN,NULL,NULL
632,abandoned,NGN,NULL,NULL
633,success,NGN,NG,"Naira transactions with Naira card"
634,abandoned,NGN,NULL,NULL
635,success,NGN,NG,"Naira transactions with Naira card"
636,abandoned,NGN,NULL,NULL
637,failed,NGN,NG,"Naira transactions with Naira card"
638,success,NGN,NG,"Naira transactions with Naira card"
639,success,NGN,NG,"Naira transactions with Naira card"
640,failed,NGN,NG,"Naira transactions with Naira card"
641,success,NGN,NG,"Naira transactions with Naira card"
642,abandoned,USD,NULL,NULL
643,abandoned,NGN,NULL,NULL
644,success,NGN,NG,"Naira transactions with Naira card"
645,success,NGN,NG,"Naira transactions with Naira card"
646,failed,NGN,NG,"Naira transactions with Naira card"
647,abandoned,NGN,NULL,NULL
648,success,NGN,NG,"Naira transactions with Naira card"
649,abandoned,NGN,NULL,NULL
650,abandoned,NGN,NULL,NULL
651,success,NGN,NG,"Naira transactions with Naira card"
652,success,NGN,NG,"Naira transactions with Naira card"
653,abandoned,NGN,NULL,NULL
654,success,NGN,NG,"Naira transactions with Naira card"
655,abandoned,NGN,NG,"Naira transactions with Naira card"
656,success,NGN,NG,"Naira transactions with Naira card"
657,abandoned,NGN,NULL,NULL
658,success,NGN,NG,"Naira transactions with Naira card"
659,success,NGN,NG,"Naira transactions with Naira card"
660,success,NGN,NG,"Naira transactions with Naira card"
661,success,NGN,NG,"Naira transactions with Naira card"
662,success,NGN,NG,"Naira transactions with Naira card"
663,failed,NGN,NG,"Naira transactions with Naira card"
664,abandoned,NGN,NULL,NULL
665,abandoned,USD,US,"Dollar transactions with foreign card"
666,abandoned,NGN,NULL,NULL
667,success,NGN,NG,"Naira transactions with Naira card"
668,abandoned,NGN,NULL,NULL
669,failed,USD,US,"Dollar transactions with foreign card"
670,success,NGN,NG,"Naira transactions with Naira card"
671,success,NGN,NG,"Naira transactions with Naira card"
672,success,NGN,NG,"Naira transactions with Naira card"
673,abandoned,NGN,NULL,NULL
674,success,NGN,NG,"Naira transactions with Naira card"
675,failed,USD,US,"Dollar transactions with foreign card"
676,success,NGN,NG,"Naira transactions with Naira card"
677,success,NGN,NG,"Naira transactions with Naira card"
678,failed,NGN,NG,"Naira transactions with Naira card"
679,success,NGN,NG,"Naira transactions with Naira card"
680,abandoned,NGN,NULL,NULL
681,success,NGN,NG,"Naira transactions with Naira card"
682,abandoned,NGN,NULL,NULL
683,failed,NGN,NG,"Naira transactions with Naira card"
684,success,NGN,NG,"Naira transactions with Naira card"
685,failed,NGN,CA,"Naira transactions with foreign card"
686,success,NGN,NG,"Naira transactions with Naira card"
687,failed,NGN,NG,"Naira transactions with Naira card"
688,abandoned,NGN,NULL,NULL
689,success,NGN,NG,"Naira transactions with Naira card"
690,success,NGN,NG,"Naira transactions with Naira card"
691,abandoned,NGN,NULL,NULL
692,abandoned,USD,NULL,NULL
693,success,NGN,NG,"Naira transactions with Naira card"
694,success,NGN,NG,"Naira transactions with Naira card"
695,abandoned,NGN,NULL,NULL
696,success,NGN,NG,"Naira transactions with Naira card"
697,success,USD,UA,"Dollar transactions with foreign card"
698,abandoned,NGN,NULL,NULL
699,abandoned,NGN,NULL,NULL
700,abandoned,NGN,NG,"Naira transactions with Naira card"
701,success,USD,GB,"Dollar transactions with foreign card"
702,success,NGN,NG,"Naira transactions with Naira card"
703,success,NGN,NG,"Naira transactions with Naira card"
704,abandoned,NGN,NULL,NULL
705,success,NGN,NG,"Naira transactions with Naira card"
706,abandoned,NGN,NULL,NULL
707,success,NGN,NG,"Naira transactions with Naira card"
708,abandoned,NGN,NULL,NULL
709,abandoned,USD,NULL,NULL
710,success,NGN,NG,"Naira transactions with Naira card"
711,abandoned,NGN,NULL,NULL
712,success,NGN,NG,"Naira transactions with Naira card"
713,abandoned,NGN,NULL,NULL
714,abandoned,NGN,NULL,NULL
715,abandoned,NGN,NULL,NULL
716,success,NGN,NG,"Naira transactions with Naira card"
717,abandoned,NGN,NULL,NULL
718,success,NGN,NG,"Naira transactions with Naira card"
719,abandoned,NGN,NULL,NULL
720,success,NGN,NG,"Naira transactions with Naira card"
721,abandoned,NGN,NULL,NULL
722,reversed,NGN,NG,"Naira transactions with Naira card"
723,success,NGN,NG,"Naira transactions with Naira card"
724,failed,NGN,NG,"Naira transactions with Naira card"
725,abandoned,NGN,NULL,NULL
726,abandoned,NGN,NULL,NULL
727,abandoned,NGN,NULL,NULL
728,failed,NGN,NG,"Naira transactions with Naira card"
729,success,NGN,NG,"Naira transactions with Naira card"
730,abandoned,USD,NULL,NULL
731,success,NGN,NG,"Naira transactions with Naira card"
732,abandoned,NGN,NULL,NULL
733,success,NGN,NG,"Naira transactions with Naira card"
734,success,NGN,NG,"Naira transactions with Naira card"
735,abandoned,NGN,NULL,NULL
736,abandoned,NGN,NULL,NULL
737,success,NGN,NG,"Naira transactions with Naira card"
738,abandoned,NGN,NULL,NULL
739,success,NGN,NG,"Naira transactions with Naira card"
740,abandoned,NGN,NULL,NULL
741,failed,NGN,NG,"Naira transactions with Naira card"
742,abandoned,NGN,NULL,NULL
743,abandoned,NGN,NULL,NULL
744,success,NGN,NG,"Naira transactions with Naira card"
745,failed,NGN,GB,"Naira transactions with foreign card"
746,abandoned,NGN,NULL,NULL
747,abandoned,NGN,NULL,NULL
748,abandoned,NGN,NULL,NULL
749,success,USD,GB,"Dollar transactions with foreign card"
750,abandoned,NGN,NULL,NULL
751,abandoned,NGN,NULL,NULL
752,abandoned,USD,NULL,NULL
753,failed,NGN,US,"Naira transactions with foreign card"
754,success,NGN,NG,"Naira transactions with Naira card"
755,abandoned,NGN,NULL,NULL
756,success,NGN,NG,"Naira transactions with Naira card"
757,success,NGN,NG,"Naira transactions with Naira card"
758,abandoned,NGN,NULL,NULL
759,success,NGN,NG,"Naira transactions with Naira card"
760,abandoned,USD,US,"Dollar transactions with foreign card"
761,failed,NGN,GB,"Naira transactions with foreign card"
762,abandoned,NGN,NULL,NULL
763,failed,NGN,NG,"Naira transactions with Naira card"
764,failed,NGN,NG,"Naira transactions with Naira card"
765,abandoned,USD,NULL,NULL
766,abandoned,NGN,NULL,NULL
767,success,NGN,NG,"Naira transactions with Naira card"
768,abandoned,USD,US,"Dollar transactions with foreign card"
769,success,NGN,NG,"Naira transactions with Naira card"
770,abandoned,NGN,NULL,NULL
771,abandoned,USD,US,"Dollar transactions with foreign card"
772,success,NGN,NG,"Naira transactions with Naira card"
773,abandoned,NGN,NULL,NULL
774,abandoned,NGN,NULL,NULL
775,success,NGN,NG,"Naira transactions with Naira card"
776,success,NGN,NG,"Naira transactions with Naira card"
777,abandoned,NGN,NULL,NULL
778,success,NGN,NG,"Naira transactions with Naira card"
779,success,NGN,NG,"Naira transactions with Naira card"
780,success,NGN,NG,"Naira transactions with Naira card"
781,abandoned,NGN,NULL,NULL
782,reversed,NGN,NG,"Naira transactions with Naira card"
783,abandoned,NGN,NULL,NULL
784,success,NGN,NG,"Naira transactions with Naira card"
785,abandoned,NGN,NULL,NULL
786,failed,NGN,NG,"Naira transactions with Naira card"
787,abandoned,USD,NULL,NULL
788,abandoned,USD,NULL,NULL
789,abandoned,USD,NULL,NULL
790,success,NGN,NG,"Naira transactions with Naira card"
791,abandoned,NGN,NULL,NULL
792,success,USD,CA,"Dollar transactions with foreign card"
793,success,NGN,NG,"Naira transactions with Naira card"
794,abandoned,USD,NULL,NULL
795,success,NGN,NG,"Naira transactions with Naira card"
796,success,USD,GB,"Dollar transactions with foreign card"
797,abandoned,NGN,NG,"Naira transactions with Naira card"
798,abandoned,NGN,GB,"Naira transactions with foreign card"
799,success,NGN,NG,"Naira transactions with Naira card"
800,abandoned,NGN,NULL,NULL
801,success,NGN,NG,"Naira transactions with Naira card"
802,abandoned,NGN,NULL,NULL
803,abandoned,NGN,NULL,NULL
804,abandoned,NGN,NULL,NULL
805,abandoned,USD,US,"Dollar transactions with foreign card"
806,success,NGN,GB,"Naira transactions with foreign card"
807,abandoned,NGN,NULL,NULL
808,abandoned,NGN,NULL,NULL
809,success,NGN,NG,"Naira transactions with Naira card"
810,success,NGN,NG,"Naira transactions with Naira card"
811,abandoned,NGN,NG,"Naira transactions with Naira card"
812,abandoned,NGN,NULL,NULL
813,success,NGN,NG,"Naira transactions with Naira card"
814,success,NGN,NG,"Naira transactions with Naira card"
815,abandoned,USD,NULL,NULL
816,abandoned,NGN,NG,"Naira transactions with Naira card"
817,success,NGN,NG,"Naira transactions with Naira card"
818,abandoned,USD,NULL,NULL
819,abandoned,NGN,NULL,NULL
820,abandoned,USD,FR,"Dollar transactions with foreign card"
821,abandoned,NGN,NULL,NULL
822,success,NGN,NG,"Naira transactions with Naira card"
823,failed,NGN,NG,"Naira transactions with Naira card"
824,abandoned,NGN,NULL,NULL
825,abandoned,NGN,NULL,NULL
826,failed,USD,US,"Dollar transactions with foreign card"
827,success,NGN,NG,"Naira transactions with Naira card"
828,abandoned,NGN,NULL,NULL
829,success,NGN,NG,"Naira transactions with Naira card"
830,abandoned,NGN,NULL,NULL
831,abandoned,NGN,NULL,NULL
832,success,USD,US,"Dollar transactions with foreign card"
833,success,NGN,NG,"Naira transactions with Naira card"
834,abandoned,USD,US,"Dollar transactions with foreign card"
835,abandoned,NGN,NULL,NULL
836,failed,NGN,NG,"Naira transactions with Naira card"
837,failed,NGN,NG,"Naira transactions with Naira card"
838,success,NGN,NG,"Naira transactions with Naira card"
839,success,NGN,NG,"Naira transactions with Naira card"
840,abandoned,USD,NULL,NULL
841,abandoned,NGN,NULL,NULL
842,abandoned,NGN,NULL,NULL
843,abandoned,NGN,NULL,NULL
844,abandoned,NGN,NULL,NULL
845,failed,NGN,NG,"Naira transactions with Naira card"
846,abandoned,NGN,NULL,NULL
847,success,NGN,NG,"Naira transactions with Naira card"
848,abandoned,NGN,NULL,NULL
849,success,NGN,NG,"Naira transactions with Naira card"
850,failed,NGN,NG,"Naira transactions with Naira card"
851,abandoned,NGN,NULL,NULL
852,success,NGN,NG,"Naira transactions with Naira card"
853,abandoned,NGN,NULL,NULL
854,success,NGN,NG,"Naira transactions with Naira card"
855,abandoned,USD,NULL,NULL
856,abandoned,NGN,NULL,NULL
857,failed,NGN,NG,"Naira transactions with Naira card"
858,failed,NGN,NG,"Naira transactions with Naira card"
859,success,NGN,NG,"Naira transactions with Naira card"
860,success,NGN,NG,"Naira transactions with Naira card"
861,success,NGN,NG,"Naira transactions with Naira card"
862,success,NGN,NG,"Naira transactions with Naira card"
863,abandoned,NGN,NULL,NULL
864,abandoned,NGN,NG,"Naira transactions with Naira card"
865,success,NGN,US,"Naira transactions with foreign card"
866,success,USD,GB,"Dollar transactions with foreign card"
867,success,NGN,NG,"Naira transactions with Naira card"
868,success,NGN,NG,"Naira transactions with Naira card"
869,success,USD,GB,"Dollar transactions with foreign card"
870,abandoned,USD,NULL,NULL
871,abandoned,NGN,NULL,NULL
872,abandoned,NGN,NULL,NULL
873,success,NGN,NG,"Naira transactions with Naira card"
874,failed,NGN,NG,"Naira transactions with Naira card"
875,abandoned,NGN,NULL,NULL
876,success,NGN,NG,"Naira transactions with Naira card"
877,abandoned,NGN,NULL,NULL
878,abandoned,NGN,NULL,NULL
879,abandoned,NGN,NULL,NULL
880,failed,USD,US,"Dollar transactions with foreign card"
881,success,NGN,NG,"Naira transactions with Naira card"
882,success,NGN,NG,"Naira transactions with Naira card"
883,failed,NGN,US,"Naira transactions with foreign card"
884,success,NGN,NG,"Naira transactions with Naira card"
885,abandoned,USD,US,"Dollar transactions with foreign card"
886,success,NGN,NG,"Naira transactions with Naira card"
887,success,NGN,NG,"Naira transactions with Naira card"
888,success,NGN,NG,"Naira transactions with Naira card"
889,abandoned,NGN,NULL,NULL
890,success,NGN,NG,"Naira transactions with Naira card"
891,success,USD,GB,"Dollar transactions with foreign card"
892,success,USD,CM,"Dollar transactions with foreign card"
893,abandoned,NGN,NULL,NULL
894,abandoned,NGN,NULL,NULL
895,abandoned,NGN,NULL,NULL
896,abandoned,NGN,NULL,NULL
897,abandoned,NGN,NULL,NULL
898,abandoned,USD,NULL,NULL
899,abandoned,NGN,NULL,NULL
900,success,NGN,NG,"Naira transactions with Naira card"
901,success,NGN,NG,"Naira transactions with Naira card"
902,success,NGN,NG,"Naira transactions with Naira card"
903,success,USD,GB,"Dollar transactions with foreign card"
904,success,NGN,NG,"Naira transactions with Naira card"
905,abandoned,NGN,GB,"Naira transactions with foreign card"
906,success,NGN,NG,"Naira transactions with Naira card"
907,success,NGN,US,"Naira transactions with foreign card"
908,reversed,NGN,NG,"Naira transactions with Naira card"
909,success,USD,GB,"Dollar transactions with foreign card"
910,success,NGN,NG,"Naira transactions with Naira card"
911,success,NGN,NG,"Naira transactions with Naira card"
912,success,NGN,NG,"Naira transactions with Naira card"
913,success,NGN,NG,"Naira transactions with Naira card"
914,abandoned,USD,NULL,NULL
915,success,NGN,NG,"Naira transactions with Naira card"
916,success,NGN,NG,"Naira transactions with Naira card"
917,success,NGN,NG,"Naira transactions with Naira card"
918,abandoned,NGN,NULL,NULL
919,success,NGN,NG,"Naira transactions with Naira card"
920,abandoned,NGN,NULL,NULL
921,failed,NGN,NG,"Naira transactions with Naira card"
922,success,NGN,NULL,NULL
923,abandoned,NGN,NULL,NULL
924,abandoned,NGN,NULL,NULL
925,success,NGN,NG,"Naira transactions with Naira card"
926,failed,NGN,NG,"Naira transactions with Naira card"
927,abandoned,NGN,NULL,NULL
928,abandoned,NGN,NULL,NULL
929,abandoned,NGN,NULL,NULL
930,success,NGN,NG,"Naira transactions with Naira card"
931,abandoned,NGN,NULL,NULL
932,abandoned,NGN,NULL,NULL
933,abandoned,NGN,NULL,NULL
934,abandoned,NGN,NULL,NULL
935,abandoned,NGN,NULL,NULL
936,success,NGN,NULL,NULL
937,failed,USD,NG,"Dollar transactions with Naira card"
938,failed,NGN,NG,"Naira transactions with Naira card"
939,success,NGN,NG,"Naira transactions with Naira card"
940,success,USD,US,"Dollar transactions with foreign card"
941,failed,USD,US,"Dollar transactions with foreign card"
942,success,NGN,NG,"Naira transactions with Naira card"
943,success,NGN,NG,"Naira transactions with Naira card"
944,success,NGN,GB,"Naira transactions with foreign card"
945,success,NGN,NG,"Naira transactions with Naira card"
946,abandoned,NGN,NG,"Naira transactions with Naira card"
947,success,NGN,NG,"Naira transactions with Naira card"
948,abandoned,USD,NULL,NULL
949,success,NGN,NG,"Naira transactions with Naira card"
950,abandoned,NGN,NULL,NULL
951,success,NGN,NG,"Naira transactions with Naira card"
952,abandoned,NGN,NULL,NULL
953,failed,NGN,NG,"Naira transactions with Naira card"
954,abandoned,NGN,NULL,NULL
955,abandoned,NGN,NULL,NULL
956,failed,NGN,NG,"Naira transactions with Naira card"
957,success,USD,US,"Dollar transactions with foreign card"
958,abandoned,USD,NULL,NULL
959,abandoned,NGN,NULL,NULL
960,abandoned,NGN,NG,"Naira transactions with Naira card"
961,failed,NGN,NG,"Naira transactions with Naira card"
962,success,USD,GB,"Dollar transactions with foreign card"
963,success,NGN,NG,"Naira transactions with Naira card"
964,abandoned,NGN,NULL,NULL
965,abandoned,USD,NULL,NULL
966,success,NGN,NG,"Naira transactions with Naira card"
967,abandoned,NGN,NULL,NULL
968,success,NGN,NG,"Naira transactions with Naira card"
969,success,NGN,NG,"Naira transactions with Naira card"
970,abandoned,USD,US,"Dollar transactions with foreign card"
971,success,NGN,IN,"Naira transactions with foreign card"
972,abandoned,NGN,NG,"Naira transactions with Naira card"
973,failed,NGN,US,"Naira transactions with foreign card"
974,success,NGN,GB,"Naira transactions with foreign card"
975,success,NGN,NG,"Naira transactions with Naira card"
976,abandoned,USD,NULL,NULL
977,abandoned,NGN,NULL,NULL
978,abandoned,NGN,NULL,NULL
979,failed,NGN,NG,"Naira transactions with Naira card"
980,abandoned,NGN,NULL,NULL
981,abandoned,NGN,NULL,NULL
982,abandoned,USD,US,"Dollar transactions with foreign card"
983,success,NGN,NG,"Naira transactions with Naira card"
984,success,NGN,NG,"Naira transactions with Naira card"
985,failed,NGN,NG,"Naira transactions with Naira card"
986,abandoned,NGN,NULL,NULL
987,success,NGN,NG,"Naira transactions with Naira card"
988,abandoned,NGN,NULL,NULL
989,success,NGN,NG,"Naira transactions with Naira card"
990,success,NGN,NG,"Naira transactions with Naira card"
991,abandoned,NGN,NULL,NULL
992,success,NGN,NG,"Naira transactions with Naira card"
993,success,NGN,NG,"Naira transactions with Naira card"
994,failed,NGN,NG,"Naira transactions with Naira card"
995,success,NGN,NG,"Naira transactions with Naira card"
996,success,USD,GB,"Dollar transactions with foreign card"
997,abandoned,NGN,NULL,NULL
998,success,NGN,NG,"Naira transactions with Naira card"
999,success,NGN,NG,"Naira transactions with Naira card"
1000,abandoned,NGN,NULL,NULL
